model,scenario,region,variable,unit,2015,2025,2035,2045,2055,2065,2075,2085,2095
REMIND 2.1,CEMICS_GDPgrowth_1p5,AFG,RIME|sdii|Exposure|Land area,km2,0.0,63.6437297253656,763.7247567043872,1081.9434053312152,1145.5871350565808,1018.2996756058496,700.0810269790217,318.218648626828,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,AGO,RIME|sdii|Exposure|Land area,km2,0.0,104.59810479212607,1255.177257505513,1778.1677814661432,1882.7658862582691,1673.569676674017,1150.5791527133867,522.9905239606303,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,ALB,RIME|sdii|Exposure|Land area,km2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,AND,RIME|sdii|Exposure|Land area,km2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,ARE,RIME|sdii|Exposure|Land area,km2,11916.028164659969,1499.5826949637244,2122.5781458437245,2405.7578962437246,2462.3938463237246,2349.1219461637243,2065.942195763724,1726.1264952837246,2141.152172868806
REMIND 2.1,CEMICS_GDPgrowth_1p5,ARG,RIME|sdii|Exposure|Land area,km2,989.8113023999999,2548.86866998554,3366.6132238264745,3738.3152937541727,3812.655707739712,3663.974879768633,3292.272809840935,2846.230325927698,2375.54712576
REMIND 2.1,CEMICS_GDPgrowth_1p5,ARM,RIME|sdii|Exposure|Land area,km2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,ASM,RIME|sdii|Exposure|Land area,km2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,ATF,RIME|sdii|Exposure|Land area,km2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,ATG,RIME|sdii|Exposure|Land area,km2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,AUS,RIME|sdii|Exposure|Land area,km2,3268.135841496057,1226.518084991534,3369.664868524047,4343.8224974024615,4538.654023178145,4148.990971626778,3174.833342748364,2005.8441880942657,1180.7831780345314
REMIND 2.1,CEMICS_GDPgrowth_1p5,AUT,RIME|sdii|Exposure|Land area,km2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,AZE,RIME|sdii|Exposure|Land area,km2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,BDI,RIME|sdii|Exposure|Land area,km2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,BEL,RIME|sdii|Exposure|Land area,km2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,BEN,RIME|sdii|Exposure|Land area,km2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,BFA,RIME|sdii|Exposure|Land area,km2,23.926154729208754,722.7069277492674,8014.513877937969,11328.971582569196,11991.863123495441,10666.08004164295,7351.622337011722,3374.2730914542494,57.422771350101016
REMIND 2.1,CEMICS_GDPgrowth_1p5,BGD,RIME|sdii|Exposure|Land area,km2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,BGR,RIME|sdii|Exposure|Land area,km2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,BHR,RIME|sdii|Exposure|Land area,km2,265.4693808182968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.697958721219834
